partner,Buy,Gift,Transfer,Free Transfer,Callcentre,Accelerator,Inline,Reinstate,Pooling,Extend,SUB
Aer Lingus,,,,,,,,,,,
Aeromexico,,,,,,,,,,,
Aeroplan,26300,,,,,,,,,,
AIMIA,,,,,,,,,,,
Air Canada,59225,1734,1763,,,196,,183,,,
Air Europa,8580,538,,,,,,,,,
Air France,134060,1840,49378,,36296,,,,,,
Alaska Airlines,685275,14649,177697,3578,1349,6700,732,,,,
Alitalia,25204,673,12552,,8,,,,,,
AA,,,,,,,,,,,
AMEX,,,,,,,,,,,
Amtrak,130304,878,15844,,1087,,,,,,
ANA,,,,,,,,,,,
Audience rewards,,,,,,,,,,,
Avianca,,,,,,,,,,,
Avios,17238,373,,,,,,,,,
BILT,,,,,,,,,,,
BA,319069,9052,15362,5753,473,,,,,,
Caribbean,504,20,232,,103,,42,,,,
Cathay,,,,,,,,,,,
CHASE,,,,,,,,,,,
China Aylines,,,,,,,,,,,
Choice,367757,4919,,,139645,,,,,,
COPA ,58017,1749,15539,,,119,6505,269,,,5882
Delta,,,,,,,,,,,
Emirates,160184,5518,36152,,45164,3061,32749,9949,,100,
ESSO,,,,,,,,,,,
Ethiopian,1729,137,374,,,,,,,,
Etihad,57469,,,,47,321,,198,,,
EVA AIR,60,,,,,,,,,,
Finnair,40983,1516,,,,,,,,,
Frontier,41081,1456,2,,,,,,,,
Global rewards,2349481,42,11,,,,,,,,
Hainan,5667,102,,,,,,,,,
Hawaii,,,,,,,,,,,
Hilton,508919,8910,5419,519779,31250,,67043,26341,1000,,
Hyatt,346796,2634,,,3,,14669,,,,
Iberia,45434,1480,18396,,,,,,,,
Icelandair,2094,262,26787,,6,,,,,,
IHG BG,569154,1918,30412,,28526,,,,,,
Jet airways,,,,,,,,,,,
Jet blue,403952,1044,45623,,,,,,,,
Kickback,,,,,,,,,,,
La Quinta,31248,174,,,,,,,,,
Lan free,,,7957,,,,,,,,
Latam Brasil,,,141020,25089,,20741,,,,,
Marriott,806422,6415,,,,,1650,,,,
Melia Hotels,7192,37,,,,,,,,,
Qantas,,,,,,,,,,,
Qatar,14342,363,3491,,,837,,,,,
Quality Airlines,,,23,,,,,,,,
Radisson,78690,252,,2713,,,152,,,,
Saudia,45941,548,6312,,,,,,,,
Sears,,,,,,,,,,,
Shangri-la,7942,115,,,,,106,,,,
SWA,1237828,7196,936425,21,433467,,2981169,,,,930
Speedway,,,,,,,,,,,
Spirit,32570,1343,,,,,5967,,,,
Starwood,461416,19331,,,,,,,,,
Trident,,,,,,,,,,,
United,550014,7583,291353,,,,,86553,,,479
Velocity ,24577,,,,498,,,,,,
Virgin Atlantic,92297,2430,22113,,50732,16547,2123,,,,
West Jet,37501,,,,1971,,,,,,
Wyndham,107337,1296,,,,,,,,,